學校代碼,區域,學校名稱,七年級男生數,七年級女生數,七年級班級數,八年級男生數,八年級女生數,八年級班級數,九年級男生數,九年級女生數,九年級班級數,總班級數
675,東區,東峰國中,41,38,5,36,45,4,52,41,4,13
676,東區,育英國中,117,108,10,121,96,10,142,88,10,30
677,南區,崇倫國中,151,140,12,175,173,13,160,163,12,37
678,南區,四育國中,88,58,7,76,57,6,86,90,9,22
679,西區,向上國中,197,169,12,183,152,13,177,131,12,37
680,西區,居仁國中,350,305,22,375,316,24,307,331,22,68
681,西區,光明國中,197,246,17,242,235,18,214,244,17,52
682,北區,雙十國中,113,133,10,144,146,11,138,143,11,32
683,北區,立人國中,140,111,9,135,141,10,160,137,10,29
684,北區,五權國中,154,146,12,152,175,12,179,188,14,38
685,北屯區,四張犁國中,101,96,7,84,106,7,102,112,8,22
686,北屯區,北新國中,262,251,18,256,230,18,240,226,19,55
687,北屯區,大德國中,57,41,4,75,48,5,71,77,7,16
688,北屯區,崇德國中,258,213,17,245,227,17,246,233,17,51
689,北屯區,三光國中,83,71,6,86,82,6,90,85,6,18
690,西屯區,安和國中,113,138,9,113,122,10,132,120,11,30
691,西屯區,至善國中,127,107,9,99,144,10,126,112,9,28
692,西屯區,中山國中,69,49,5,99,44,7,75,63,7,19
693,西屯區,漢口國中,163,126,11,136,121,10,145,138,11,32
697,西屯區,福科國中,255,269,15,239,242,15,224,213,15,45
694,南屯區,大業國中,251,216,16,246,248,16,239,249,16,48
695,南屯區,萬和國中,117,105,9,146,149,11,138,132,10,30
696,南屯區,黎明國中,184,140,14,167,123,13,165,144,13,40
698,南屯區,大墩國中,117,104,9,134,113,9,124,124,10,28
336,豐原區,豐原國中,181,157,13,196,152,15,187,154,15,43
337,豐原區,豐東國中,319,274,21,321,308,21,311,280,21,63
338,豐原區,豐南國中,236,207,17,210,242,16,292,243,20,53
339,豐原區,豐陽國中,81,99,8,112,97,9,109,105,10,27
343,后里區,后里國中,118,88,8,114,94,8,133,110,9,25
345,神岡區,神岡國中,126,122,9,121,105,9,102,97,7,25
346,神岡區,神圳國中,90,73,7,97,90,8,99,94,8,23
347,大雅區,大雅國中,178,185,14,186,203,15,206,190,17,46
348,大雅區,大華國中,286,231,18,247,267,18,280,253,19,55
350,潭子區,潭子國中,100,101,9,110,95,7,113,126,8,24
351,潭子區,潭秀國中,173,150,12,199,158,13,206,178,14,39
354,外埔區,外埔國中,93,72,7,92,82,7,105,93,8,22
355,清水區,清水國中,296,270,20,297,295,21,328,281,22,63
356,清水區,清泉國中,84,48,6,79,59,6,87,69,7,19
357,清水區,清海國中,12,11,2,14,15,2,20,10,2,6
360,梧棲區,梧棲國中,92,100,8,139,92,9,120,107,10,27
362,大甲區,大甲國中,252,187,17,227,245,18,236,220,18,53
363,大甲區,日南國中,133,131,10,155,106,10,129,137,10,30
364,大甲區,順天國中,163,149,12,157,149,12,172,164,13,37
368,沙鹿區,沙鹿國中,253,213,18,286,251,20,297,235,20,58
369,沙鹿區,鹿寮國中,170,161,11,140,145,10,149,147,10,31
370,沙鹿區,北勢國中,86,69,6,78,61,6,93,65,7,19
371,沙鹿區,公明國中,37,40,3,39,30,3,34,32,3,9
373,大安區,大安國中,28,27,3,26,33,3,24,46,4,10
374,龍井區,龍井國中,82,73,6,72,63,6,89,101,8,20
375,龍井區,四箴國中,108,100,8,124,116,9,115,121,9,26
377,大肚區,大道國中,134,148,11,167,142,12,144,187,14,37
408,石岡區,石岡國中,53,49,5,53,42,5,56,61,6,16
378,烏日區,烏日國中,52,48,4,52,55,4,61,45,4,12
379,烏日區,溪南國中,34,31,4,28,40,4,54,50,5,13
380,烏日區,光德國中,201,210,15,208,219,15,237,180,15,45
383,大里區,成功國中,244,237,18,256,225,17,267,251,19,54
384,大里區,光榮國中,226,232,16,297,267,20,292,268,20,56
385,大里區,光正國中,99,93,7,113,114,9,133,115,9,25
386,大里區,爽文國中,231,219,16,219,205,15,201,205,14,45
387,大里區,立新國中,69,60,6,80,63,6,73,68,6,18
410,和平區,和平國中,3,10,2,8,8,2,7,9,2,6
393,霧峰區,霧峰國中,60,44,5,63,57,5,68,76,7,17
398,太平區,太平國中,147,116,10,161,159,12,164,143,12,34
399,太平區,中平國中,100,120,10,108,105,10,130,123,12,32
401,太平區,新光國中,208,202,15,213,240,16,248,213,16,47
403,東勢區,東勢國中,170,145,12,196,168,13,180,187,14,39
404,東勢區,東華國中,20,22,3,21,19,3,17,17,3,9
405,東勢區,東新國中,29,25,4,24,24,3,35,35,4,11
